year,month_text,month_num,births
1956,январь,1,294461
1956,февраль,2,241272
1956,март,3,252344
1956,апрель,4,239466
1956,май,5,233260
1956,июнь,6,217554
1956,июль,7,226033
1956,август,8,223690
1956,сентябрь,9,210348
1956,октябрь,10,218330
1956,ноябрь,11,215395
1956,декабрь,12,197167
1957,январь,1,290178
1957,февраль,2,229414
1957,март,3,258313
1957,апрель,4,241065
1957,май,5,236346
1957,июнь,6,213227
1957,июль,7,230459
1957,август,8,234806
1957,сентябрь,9,227178
1957,октябрь,10,240303
1957,ноябрь,11,229383
1957,декабрь,12,200926
1958,январь,1,294554
1958,февраль,2,232751
1958,март,3,251086
1958,апрель,4,238452
1958,май,5,239615
1958,июнь,6,212919
1958,июль,7,210507
1958,август,8,219301
1958,сентябрь,9,232002
1958,октябрь,10,241332
1958,ноябрь,11,234281
1958,декабрь,12,212408
1959,январь,1,289736
1959,февраль,2,230352
1959,март,3,252283
1959,апрель,4,239995
1959,май,5,234549
1959,июнь,6,219438
1959,июль,7,232241
1959,август,8,234885
1959,сентябрь,9,222062
1959,октябрь,10,222876
1959,ноябрь,11,210596
1959,декабрь,12,207215
1960,январь,1,280955
1960,февраль,2,238607
1960,март,3,258328
1960,апрель,4,238177
1960,май,5,237652
1960,июнь,6,218852
1960,июль,7,229043
1960,август,8,227627
1960,сентябрь,9,219014
1960,октябрь,10,222339
1960,ноябрь,11,215055
1960,декабрь,12,196704
1961,январь,1,265111
1961,февраль,2,217249
1961,март,3,242617
1961,апрель,4,228813
1961,май,5,229030
1961,июнь,6,211090
1961,июль,7,218625
1961,август,8,220239
1961,сентябрь,9,211123
1961,октябрь,10,217488
1961,ноябрь,11,208831
1961,декабрь,12,191919
1962,январь,1,249768
1962,февраль,2,204527
1962,март,3,226143
1962,апрель,4,216624
1962,май,5,217543
1962,июнь,6,202436
1962,июль,7,210143
1962,август,8,204272
1962,сентябрь,9,189379
1962,октябрь,10,189140
1962,ноябрь,11,185132
1962,декабрь,12,187432
1963,январь,1,234133
