city_id;reg_id;city_name;if_double;agglomeration;found_century;found_year;found_year_exact;latitude;longitude;post_index;Тип района;Район;Тип города;Город;Тип н/п;Н/п;Код КЛАДР;Код ФИАС;Уровень по ФИАС;Признак центра района или региона;Код ОКАТО;Код ОКТМО;Код ИФНС;Часовой пояс
1;19;Абаза;0;Нет;19;1867;1867;52.6517296;90.0885929;655750;-;-;г;Абаза;-;-;1900000400000;a369b520-09b4-49b2-b28c-61c9146153e6;4: город;0;95402000000;95702000001;1902;UTC+7
2;19;Абакан;0;Нет;18;1785;1785;53.7223661;91.4437792;655000;-;-;г;Абакан;-;-;1900000100000;42a02e11-a337-4d50-8596-fc76dae7c62a;4: город;2;95401000000;95701000001;1901;UTC+7
3;56;Абдулино;0;Нет;18;1795;1795;53.6778096;53.6473115;461743;р-н;Абдулинский;г;Абдулино;-;-;5605500100000;5e796fe8-2870-4a24-a14a-5669ca0141e5;4: город;1;53404000000;53603101;5600;UTC+5
4;23;Абинск;0;Нет;19;1863;1863;44.8679931;38.1618437;353320;р-н;Абинский;г;Абинск;-;-;2300200100000;ecd4abbc-79eb-4dd9-b02d-b10760fbc4ff;4: город;1;03201501000;03601101001;2300;UTC+3
5;2;Агидель;0;Нет;20;1980;1980;55.89976;53.9221149;452920;-;-;г;Агидель;-;-;0200000200000;8294b97c-7553-499e-8369-821d6eb0fdc7;4: город;0;80403000000;80703000;0264;UTC+5
6;16;Агрыз;0;Нет;17;1646;1646;56.5232645;52.994257;422230;р-н;Агрызский;г;Агрыз;-;-;1600200100000;9f936889-a757-419e-890a-d4cc1fa95e93;4: город;1;92201501000;92601101;1674;UTC+3
7;1;Адыгейск;0;Нет;20;1973;1973;44.8783715;39.190172;385200;-;-;г;Адыгейск;-;-;0100000200000;ccdfd496-8108-4655-aadd-bd228747306d;4: город;0;79403000000;79703000001;0107;UTC+3
8;16;Азнакаево;0;Нет;18;1762;1762;54.8599054;53.0745505;423330;р-н;Азнакаевский;г;Азнакаево;-;-;1600300100000;17296190-84f5-4afd-93c5-2b79cfc8bc12;4: город;1;92403000000;92602101;1689;UTC+3
9;61;Азов;0;Ростовская;11;1067;1067;47.1120631;39.4232597;346780;-;-;г;Азов;-;-;6100001300000;a216cad5-7027-40b8-b1a1-d64abefbd5cd;4: город;0;60404000000;60704000001;6188;UTC+3
10;17;Ак-Довурак;0;Нет;20;1964;1964;51.1785658;90.5984511;668050;-;-;г;Ак-Довурак;-;-;1700000200000;7e4932c1-2db8-4fee-9997-655d837e70e1;4: город;0;93403000000;93703000;1722;UTC+7
11;61;Аксай;0;Ростовская;20;1957;1957;47.2676075;39.8755485;346720;р-н;Аксайский;г;Аксай;-;-;6100300100000;9bebf626-3ee7-4e1b-9e91-569c9d402152;4: город;1;60202501000;60602101001;6181;UTC+3
12;15;Алагир;0;Нет;19;1850;1850;43.0416151;44.2198622;363240;р-н;Алагирский;г;Алагир;-;-;1500200100000;e6dcf985-09c1-4ede-ba3d-de714f0a5787;4: город;1;90205501000;90605101;1514;UTC+3
13;66;Алапаевск;0;Нет;17;1639;1639;57.8475542;61.6693934;624600;-;-;г;Алапаевск;-;-;6600002400000;a4ab722e-453a-4aed-bb73-728a05e2e27f;4: город;0;65403000000;65728000;6677;UTC+5
14;21;Алатырь;0;Нет;16;1552;1552;54.8398179;46.5721423;429820;-;-;г;Алатырь;-;-;2100002200000;a699e866-12f0-42c3-94fd-67ca44468805;4: город;0;97404000000;97704000;2100;UTC+3
15;14;Алдан;0;Нет;20;1924;1924;58.6094885;125.3816689;678900;у;Алданский;г;Алдан;-;-;1400300100000;29a64605-5441-48c5-bc08-117a72ebc843;4: город;1;98203501000;98603101;1400;UTC+9
16;22;Алейск;0;Нет;20;1913;1913;52.4920914;82.7794145;658125;-;-;г;Алейск;-;-;2200000200000;ae716080-f27b-40b6-a555-cf8b518e849e;4: город;0;01403000000;01703000;2201;UTC+7
17;33;Александров;0;Нет;14;1434;1434;56.3919652;38.711035;601650;р-н;Александровский;г;Александров;-;-;3300200100000;59e55956-69a2-432f-b880-74cf8ec0b9fe;4: город;1;17205501000;17605101001;3339;UTC+3
18;59;Александровск;0;Нет;18;1783;1783;59.1613773;57.5764851;618320;-;-;г;Александровск;-;-;5900000300000;4f07ade1-1415-44c8-bed9-e851f1ef558d;4: город;0;57405550000;57605105001;5911;UTC+5
19;65;Александровск-Сахалинский;0;Нет;19;1869;1869;50.8973664;142.1579322;694420;р-н;Александровск-Сахалинский;г;Александровск-Сахалинский;-;-;6501800100000;b56de39f-87a4-4c5c-a2b1-9ccb64039774;4: город;1;64405000000;64704000001;6517;UTC+11
20;31;Алексеевка;0;Нет;17;1685;1685;50.6299932;38.6881776;309850;р-н;Алексеевский;г;Алексеевка;-;-;3100200100000;94969f84-fff4-4ddf-9677-b912b4b2aa3e;4: город;1;14410000000;14605101001;3122;UTC+3
21;71;Алексин;0;Нет;14;1348;1348;54.5083788;37.047891;301352;р-н;Алексинский;г;Алексин;-;-;7100200100000;b9688874-4981-4b22-a930-2521c04beb3c;4: город;1;70202501000;70706000001;7148;UTC+3
