city_id;year;population;source;
49;1916;46750;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
168;1916;47200;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
174;1916;48600;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
360;1916;54400;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
410;1916;62000;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
738;1916;64000;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
947;1916;64100;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
990;1916;72300;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
872;1916;77100;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
863;1916;84380;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
732;1916;86800;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
182;1916;95500;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
710;1916;98300;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
166;1916;104200;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
466;1916;104400;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
1008;1916;109300;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
644;1916;112900;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
1108;1916;123000;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
346;1916;134800;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
706;1916;136700;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
973;1916;141400;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
822;1916;144200;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
711;1916;157900;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
52;1916;164900;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
353;1916;197070;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
962;1916;198300;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
602;1916;1853500;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
823;1916;2404530;http://istmat.info/files/uploads/25529/stat._ezh._1916_-1.pdf;
840;1920;70045;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
501;1920;79807;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
732;1920;85070;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
182;1920;90382;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
169;1920;90396;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
275;1920;91757;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
182;1923;94890;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
275;1923;97759;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
644;1920;103946;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
166;1923;106689;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
711;1920;107094;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
169;1923;107897;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
711;1923;109780;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
52;1920;116094;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
973;1923;123572;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
973;1920;128408;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
706;1920;141881;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
466;1923;144325;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
466;1920;146700;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
644;1923;147072;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
353;1920;147678;http://istmat.info/files/uploads/31319/stat._ezh._1922-1923_naselenie.pdf;
