regID;year;population
1;1926;262000
1;1959;284690
1;1970;385644
1;1979;404504
1;1989;432588
1;1990;434788
1;1991;436598
1;1992;441280
1;1993;446191
1;1994;448480
1;1995;449864
1;1996;450358
1;1997;450075
1;1998;450810
1;1999;450358
1;2000;449052
1;2001;447327
1;2002;446628
1;2003;446828
1;2004;444848
1;2005;443300
1;2006;440993
1;2007;438603
1;2008;437900
1;2009;439380
1;2010;439760
1;2011;439935
1;2012;442451
1;2013;444403
1;2014;446406
1;2015;449171
1;2016;451480
1;2017;453366
1;2018;453376
1;2019;454744
2;1926;2546000
2;1959;3341609
2;1970;3818075
2;1979;3848627
2;1989;3950482
2;1990;3941321
2;1991;3962282
2;1992;3987884
2;1993;4022150
2;1994;4037178
2;1995;4062622
2;1996;4084473
2;1997;4098089
2;1998;4107790
2;1999;4117545
2;2000;4119810
2;2001;4115176
2;2002;4108249
2;2003;4102274
2;2004;4094215
2;2005;4081349
2;2006;4066257
2;2007;4053439
2;2008;4054821
2;2009;4059373
2;2010;4068545
2;2011;4072085
2;2012;4064245
2;2013;4060957
2;2014;4069698
2;2015;4071987
2;2016;4071064
2;2017;4066972
2;2018;4063293
2;2019;4051005
3;1926;389000
3;1959;673326
3;1970;812251
3;1979;900812
3;1989;1041119
3;1990;1048063
3;1991;1052038
3;1992;1052030
3;1993;1046176
3;1994;1039946
3;1995;1037366
3;1996;1033258
3;1997;1028533
3;1998;1020468
3;1999;1013433
3;2000;1004808
3;2001;996912
3;2002;987289
3;2003;979605
3;2004;974561
3;2005;970994
3;2006;966914
3;2007;964581
3;2008;965156
3;2009;966595
3;2010;969736
3;2011;971538
3;2012;971391
3;2013;971810
3;2014;973860
3;2015;978495
3;2016;982284
3;2017;984134
3;2018;984511
3;2019;983273
4;1926;107000
4;1959;157161
4;1970;168261
4;1979;171835
4;1989;191649
4;1990;193275
4;1991;195577
4;1992;196962
4;1993;196371
4;1994;196977
4;1995;198542
4;1996;199879
4;1997;199933
4;1998;200461
4;1999;201699
4;2000;202441
4;2001;203030
4;2002;202945
4;2003;203038
4;2004;202571
4;2005;202333
4;2006;201674
4;2007;201744
4;2008;203128
4;2009;204687
4;2010;205386
4;2011;206530
4;2012;208425
4;2013;210344
4;2014;211645
4;2015;213703
4;2016;215161
4;2017;217007
4;2018;218063
4;2019;218866
5;1926;744000
5;1959;1062472
5;1970;1428540
5;1979;1627884
5;1989;1802579
5;1990;1820164
5;1991;1875345
5;1992;1937297
5;1993;1990359
5;1994;2033523
5;1995;2200039
5;1996;2218427
5;1997;2283187
5;1998;2332837
5;1999;2392292
5;2000;2442609
5;2001;2486002
5;2002;2536077
5;2003;2581412
5;2004;2617502
5;2005;2652711
5;2006;2692619
5;2007;2735837
5;2008;2788600
5;2009;2826525
5;2010;2868759
5;2011;2914204
5;2012;2930449
5;2013;2946035
5;2014;2963918
5;2015;2990371
5;2016;3015660
5;2017;3041900
5;2018;3063885
5;2019;3086126
6;1926;77000
6;1990;189340
6;1991;192642
6;1992;194105
6;1993;195821
6;1994;194171
6;1995;263092
6;1996;282342
6;1997;291209
6;1998;296294
6;1999;301745
6;2000;340028
6;2001;445443
6;2002;455519
6;2003;468773
6;2004;451933
6;2005;433685
6;2006;417392
6;2007;406739
6;2008;406621
6;2009;409210
6;2010;411736
6;2011;414524
6;2012;430495
6;2013;442255
6;2014;453010
6;2015;463893
6;2016;472776
6;2017;480474
6;2018;488043
6;2019;497393
7;1926;224000
7;1959;420115
7;1970;588203
7;1979;674605
7;1989;759586
7;1990;762288
7;1991;780768
7;1992;794380
7;1993;803318
7;1994;810033
7;1995;821149
7;1996;834504
7;1997;846310
7;1998;860502
7;1999;870822
7;2000;878990
7;2001;886698
7;2002;894356
7;2003;901051
7;2004;889639
7;2005;877308
7;2006;866158
7;2007;858460
7;2008;857282
7;2009;858126
7;2010;859576
7;2011;859792
7;2012;859063
7;2013;858946
7;2014;858397
7;2015;860709
7;2016;862254
7;2017;864454
7;2018;865828
7;2019;866219
8;1926;135000
8;1959;184857
8;1970;267993
8;1979;293528
8;1989;322589
8;1990;325040
8;1991;327956
8;1992;325524
8;1993;319605
8;1994;318032
8;1995;316633
8;1996;314656
8;1997;313103
8;1998;312031
8;1999;310457
8;2000;308347
8;2001;307281
8;2002;297583
8;2003;291850
8;2004;292168
8;2005;293179
8;2006;293515
8;2007;293011
8;2008;291654
8;2009;290277
8;2010;289672
8;2011;288902
8;2012;286689
8;2013;284140
8;2014;282021
8;2015;280564
8;2016;278733
8;2017;277803
8;2018;275413
8;2019;272647
9;1926;178000
9;1959;277959
9;1970;344651
9;1979;368343
9;1989;417560
9;1990;419136
9;1991;424842
9;1992;428795
9;1993;433088
9;1994;433470
9;1995;435474
9;1996;437950
9;1997;439201
9;1998;440354
9;1999;441281
9;2000;439981
9;2001;440621
9;2002;439803
