regID,regAliasOKATO,regAliasISOCode,regAliasTheConstitutionalName,regAliasTableau,regAliasDatawrapper,regAliasDatwrapperSquare,regTileColumn,regTileRow,regAliasShort2Letters,regAliasShort3Letters,regFedOkrug,regMask,regAntimask,regAliasDeathID
0,,,Российская Федерация,,,,0,0,РФ,РФ,,,,643
1,79000000000,RU-AD,Республика Адыгея (Адыгея),Adygey,Республика Адыгея,Адыгея,2,8,АД,АДГ,ЮФО,Адыг,,1179
2,80000000000,RU-BA,Республика Башкортостан,Bashkortostan,Республика Башкортостан,Башкортостан,8,5,БШ,БАШ,ПФО,Башк,,1180
3,81000000000,RU-BU,Республика Бурятия,Buryatiya, Republic,Республика Бурятия,Бурятия,13,4,БУ,БУР,ДФО,Бурят,,1181
4,84000000000,RU-AL,Республика Алтай,Altayskiy,Республика Алтай,Алтай,11,6,ГА,АЛ.Р,СФО,Алтай,Алтайский,1184
5,82000000000,RU-DA,Республика Дагестан,Dagestan,Республика Дагестан,Дагестан,6,9,ДГ,ДАГ,СКФО,Даг,,1182
6,26000000000,RU-IN,Республика Ингушетия,Ingushetia,Республика Ингушетия,Ингушетия,5,10,ИН,ИНГ,СКФО,Ингу,,1126
7,83000000000,RU-KB,Кабардино-Балкарская Республика,Kabardin-Balkar,Кабардино-Балкарская республика,Кабардино-Балкария,3,10,КБ,КБР,СКФО,Каб,,1183
8,85000000000,RU-KL,Республика Калмыкия,Kalmyk,Республика Калмыкия,Калмыкия,5,8,КК,КЛМ,ЮФО,Калм,,1185
9,91000000000,RU-KC,Карачаево-Черкесская Республика,Karachay-Cherkess,Карачаево-Черкесская республика,Карачаево-Черкесия,3,9,КЧ,КЧР,СКФО,Кара,,1191
10,86000000000,RU-KR,Республика Карелия,Karelia,Республика Карелия,Карелия,2,1,КА,КРЛ,СЗФО,Каре,,1186
11,87000000000,RU-KO,Республика Коми,Komi,Республика Коми,Коми,8,2,КО,КОМ,СЗФО,Коми,,1187
12,88000000000,RU-ME,Республика Марий Эл,Mariy-El,Республика Марий Эл,Марий Эл,6,3,МЭ,М-Э,ПФО,Мар,,1188
