reg_ID;reg_alias_the_constitutional_name;reg_alias_human_name;reg_alias_okato;reg_alias_iso_code;reg_alias_tableau;reg_alias_datawrapper;reg_alias_datwrapper_square;reg_tile_column;reg_tile_row;reg_alias_short_2letters;reg_alias_short_3letters;reg_fo;reg_mask;reg_antimask;reg_alias_rosbris_ID;reg_alias_duckconsulting;reg_alias_fedstat;reg_alias_fias_name;reg_alias_fias_id;reg_alias_rossstat_order;reg_level;reg_type;reg_status;reg_alias_citytable
22;Алтайский край;Алтайский край;1000000000;RU-ALT;Altayskiy;Алтайский край;Алтайский край;11;5;АЛ;АЛК;СФО;Алтайский ;Алтай;1101;Алтайский край;        01000000000 Алтайский край;Алтайский Край;22;78;2;Регион;Край;Алтайский
28;Амурская область;Амурская область;10000000000;RU-AMU;Amur;Амурская область;Амурская область;14;3;АМ;АМР;ДФО;Амур;-;1110;Амурская область;        10000000000 Амурская область;Амурская Область;28;90;2;Регион;Область;Амурская
29;Архангельская область;Архангельская область;11000000000;RU-ARK;Arkhangel'sk;Архангельская область;Архангельская область;7;2;АР;АРХ;СЗФО;Архан;-;1111;Архангельская область;            11001000 Архангельская область (без АО);Архангельская Область;29;26;2;Регион;Область;Архангельская
201;Архангельская область вместе с НАО;Архангельская область вместе с НАО;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;101;Совокупность регионов;-;-
30;Астраханская область;Астраханская область;12000000000;RU-AST;Astrakhan';Астраханская область;Астраханская область;6;8;АС;АСТ;ЮФО;Астрах;-;1112;Астраханская область;        12000000000 Астраханская область;Астраханская Область;30;39;2;Регион;Область;Астраханская
31;Белгородская область;Белгородская область;14000000000;RU-BEL;Belgorod;Белгородская область;Белгородская область;3;7;БГ;БЕЛ;ЦФО;Белгор;-;1114;Белгородская область;        14000000000 Белгородская область;Белгородская Область;31;3;2;Регион;Область;Белгородская
32;Брянская область;Брянская область;15000000000;RU-BRY;Bryansk;Брянская область;Брянская область;1;5;БР;БРЯ;ЦФО;Брян;-;1115;Брянская область;        15000000000 Брянская область;Брянская Область;32;4;2;Регион;Область;Брянская
33;Владимирская область;Владимирская область;17000000000;RU-VLA;Vladimir;Владимирская область;Владимирская область;4;4;ВЛ;ВЛД;ЦФО;ладим;-;1117;Владимирская область;        17000000000 Владимирская область;Владимирская Область;33;5;2;Регион;Область;Владимирская
34;Волгоградская область;Волгоградская область;18000000000;RU-VGG;Volgograd;Волгоградская область;Волгоградская область;5;7;ВГ;ВГГ;ЦФО;олгог;-;1118;Волгоградская область;        18000000000 Волгоградская область;Волгоградская Область;34;40;2;Регион;Область;Волгоградская
35;Вологодская область;Вологодская область;19000000000;RU-VLG;Vologda;Вологодская область;Вологодская область;3;1;ВО;ВЛГ;СЗФО;олого;-;1119;Вологодская область;        19000000000 Вологодская область;Вологодская Область;35;27;2;Регион;Область;Вологодская
36;Воронежская область;Воронежская область;20000000000;RU-VOR;Voronezh;Воронежская область;Воронежская область;4;7;ВР;ВРЖ;ЦФО;Ворон;-;1120;Воронежская область;        20000000000 Воронежская область;Воронежская Область;36;6;2;Регион;Область;Воронежская
77;Город федерального значения Москва;Москва;45000000000;RU-MOW;Moskva (city);Москва;Москва;3;3;МС;МСК;ЦФО;Москв;-;1145;Москва;        45000000000 Город Москва столица Российской Федерации город федерального значения;Москва город;77;20;2;Регион;Город федерального значения;Москва
78;Город федерального значения Санкт-Петербург;Санкт-Петербург;40000000000;RU-SPE;Sankt-Peterburg;Санкт-Петербург;Санкт-Петербург;1;2;СП;СПБ;СЗФО;Санкт;-;1140;Санкт-Петербург;        40000000000 Город Санкт-Петербург город федерального значения;Санкт-Петербург город;78;33;2;Регион;Город федерального значения;Санкт-Петербург
92;Город федерального значения Севастополь;Севастополь;67000000000;UA-40;-;Севастополь;Севастополь;0;8;СЕ;СЕВ;ЮФО;Севас;-;1167;Севастополь;        67000000000 Город федерального значения Севастополь;Севастополь город;92;42;2;Регион;Город федерального значения;Севастополь
108;Дальневосточный федеральный округ;Дальневосточный федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85;1;Федеральный округ;-;-
79;Еврейская автономная область;Еврейская автономная область;99000000000;RU-YEV;Yevrey;Еврейская автономная область;Еврейская АО;14;4;ЕВ;ЕАО;ДФО;Евр;-;1199;Еврейская автономная область;        99000000000 Еврейская автономная область;Еврейская Автономная область;79;95;2;Регион;Автономная область;Еврейская
75;Забайкальский край;Забайкальский край;76000000000;RU-ZAB;Zabaikalski Kray;Забайкальский край;Забайкальский край;13;5;ЗБ;ЗАБ;ДФО;Заб;-;1176;Забайкальский край;        76000000000 Забайкальский край;Забайкальский Край;75;94;2;Регион;Область;Забайкальский
37;Ивановская область;Ивановская область;24000000000;RU-IVA;Ivanovo;Ивановская область;Ивановская область;4;3;ИВ;ИВА;ЦФО;Иван;-;1124;Ивановская область;        24000000000 Ивановская область;Ивановская Область;37;7;2;Регион;Область;Ивановская
